#{"t_start": 1650127719.715501, "env_id": "BipedalWalker-v3"}
r,l,t
-109.088473,80,284.464629
-122.412492,84,284.708188
-126.187547,103,284.988653
-117.781361,62,285.136278
-109.993508,52,285.2978
-125.056796,109,285.580026
-119.156595,79,285.811798
-118.35169,151,286.202439
-118.772294,121,286.509778
-111.619251,47,286.6514
-112.446925,51,286.800743
-116.263589,58,286.968721
-119.197893,73,287.179311
-117.096462,66,287.357796
-124.952367,90,287.61748
-120.604437,107,287.917803
-114.617931,76,288.113929
-106.541833,95,288.376519
-109.227535,102,288.630445
-123.447297,191,289.145285
-123.731126,92,289.400538
-99.776812,114,289.704939
-102.005611,82,289.933393
-97.614282,115,290.231223
-104.763257,84,290.453933
-103.410544,92,290.684668
-99.360236,96,290.946758
-106.506836,50,291.089342
-93.733276,155,291.499941
-97.492577,140,291.850163
-76.012347,206,292.377465
-80.590471,182,292.836424
-111.592068,88,293.080205
-86.156976,217,293.629226
45.746244,1600,297.69366
-85.42924,209,298.225757
-70.332532,259,298.863302
-111.0605,120,299.166047
-98.852965,92,299.399679
-28.551526,444,300.460299
98.290889,1600,304.517211
-42.795233,607,306.040602
-93.00321,188,306.542339
-108.798388,50,306.718915
-108.71194,50,306.841322
-121.090026,106,307.113814
-118.649267,63,307.292675
-58.278522,268,307.976968
-114.384462,75,308.162629
-118.864882,73,308.370395
-87.879588,233,308.976154
-40.042973,598,310.463129
-12.1949,798,312.447316
-77.317966,222,312.987521
-112.762833,47,313.107175
-106.627379,47,313.221938
-116.198915,102,313.483073
-107.292048,47,313.610937
-81.300475,190,314.093187
-106.121547,47,314.208342
-106.204531,79,314.404223
-113.619794,96,314.635901
-11.561664,1054,317.354436
143.831344,1600,321.362134
64.37953,1600,325.344736
-57.569291,419,326.413983
-100.359018,143,326.77642
-97.194711,139,327.134122
-90.688911,170,327.565446
-101.195957,109,327.870139
-100.486701,196,328.39618
-65.788711,461,329.567399
-91.675028,162,329.980245
-97.730223,134,330.316354
-33.517506,491,331.540453
-76.113953,264,332.215971
-74.785529,327,333.042879
-97.511913,181,333.50788
-82.827758,211,334.05792
-81.819271,240,334.665995
-85.533265,245,335.31198
-95.924796,135,335.654859
-80.004903,243,336.293674
-86.635183,184,336.772609
-97.945014,115,337.088291
-100.184493,92,337.369183
-100.649691,100,337.828143
-100.027187,81,338.156984
-87.011228,179,338.855039
-99.566362,114,339.192486
-103.918637,102,339.474918
-98.672596,114,339.761309
-95.510836,102,340.021073
-104.910629,83,340.243713
-103.707132,44,340.35596
-107.071561,48,340.484764
-101.956742,51,340.607446
-107.836987,45,340.721354
-107.109393,49,340.837091
-117.687867,71,341.039658
-102.644814,48,341.161489
-104.453831,50,341.30525
-119.39692,79,341.523607
-101.147489,50,341.643171
-105.751433,68,341.842977
-104.673181,56,342.010246
-106.87642,70,342.177834
-108.045892,51,342.338068
-106.197364,75,342.540874
-105.755556,58,342.701279
-102.675086,45,342.838941
-105.708007,83,343.037555
-95.44051,106,343.336153
-94.976869,168,343.78246
-92.962932,178,344.27681
50.683784,1600,348.340859
56.744779,1600,352.379589
1.61003,1252,355.521604
-56.333593,396,356.564443
-100.314656,110,356.859467
-60.603714,397,357.861884
-93.46175,192,358.357218
45.412907,1600,362.309134
6.77281,1600,366.403132
-131.416777,1600,370.417804
-133.597087,1600,374.306399
-137.622464,1600,378.260115
-133.666132,1600,382.205618
-167.702296,1600,386.268947
-116.908976,37,386.374833
-116.097586,45,386.492028
-168.483175,1600,390.484507
-111.642482,41,390.602948
-156.562639,1600,394.603218
-159.993312,1600,398.579577
-137.97706,1600,402.560735
-119.106333,45,402.662538
-95.529509,1600,406.633422
-94.016382,1600,410.601759
-116.441364,1600,414.602902
-100.055435,1600,418.538951
-109.944119,39,418.636649
